,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,SaleType,SaleCondition,SalePrice,count_of_porch,sum_of_area_porch
235,160,RM,21.0,1680,Reg,Lvl,Inside,BrDale,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,TA,CBlock,TA,TA,No,ALQ,358,0,125,483,TA,Y,SBrkr,483,504,987,0,0,1,1,2,1,TA,5,0,Noune,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,WD,Normal,11.402005077384885,0,0
236,20,RL,65.0,8773,Reg,Lvl,FR2,CollgCr,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,PConc,Gd,TA,Av,GLQ,24,0,1390,1414,Ex,Y,SBrkr,1414,0,1414,0,0,2,0,3,1,Gd,6,0,Noune,Attchd,2004.0,RFn,2,494,TA,TA,Y,132,WD,Normal,12.130815551850676,1,105
237,60,RL,71.5,9453,IR1,Lvl,CulDSac,SawyerW,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,Gd,PConc,Gd,TA,No,BLQ,402,0,594,996,Ex,Y,SBrkr,1014,730,1744,0,0,2,1,3,1,Gd,7,0,Noune,Attchd,1993.0,RFn,2,457,TA,TA,Y,370,WD,Normal,12.178192583415596,2,308
238,20,RL,93.0,12030,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,Ex,PConc,Ex,TA,No,Unf,0,0,1694,1694,Ex,Y,SBrkr,1694,0,1694,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2007.0,Fin,3,818,TA,TA,Y,168,New,Partial,12.669809806411457,1,228
239,50,RL,52.0,8741,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,Fa,No,LwQ,94,0,641,735,TA,Y,FuseA,798,689,1487,0,0,1,1,3,1,TA,7,1,Gd,Detchd,1949.0,Unf,1,220,TA,TA,Y,0,WD,Normal,11.635151947212842,1,140
240,20,FV,75.0,9000,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,Gd,PConc,Gd,TA,Av,GLQ,1078,0,488,1566,Ex,Y,SBrkr,1566,0,1566,1,0,2,0,3,1,Gd,7,0,Noune,Attchd,2008.0,RFn,2,750,TA,TA,Y,144,WD,Normal,12.47801017053037,1,168
241,30,RM,40.0,3880,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,TA,No,ALQ,329,0,357,686,Gd,Y,SBrkr,866,0,866,0,0,1,0,2,1,Gd,4,0,Noune,Noune,1945.0,Noune,0,0,Noune,Noune,Y,58,WD,Normal,11.612779849672751,1,42
242,50,RM,63.0,5000,Reg,Lvl,Corner,OldTown,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,540,540,Gd,N,FuseA,889,551,1440,0,0,1,0,3,1,TA,6,0,Noune,Attchd,1940.0,Unf,1,352,Fa,TA,Y,0,WD,Normal,11.277215789596893,1,77
243,160,RL,75.0,10762,Reg,Lvl,Corner,SawyerW,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,Noune,0.0,TA,CBlock,Gd,TA,No,Unf,0,0,626,626,TA,Y,SBrkr,626,591,1217,0,0,1,1,3,1,TA,6,1,TA,Attchd,1980.0,RFn,1,288,TA,TA,Y,0,WD,Normal,11.695255355062795,1,28
244,60,RL,71.5,8880,IR1,Lvl,Inside,SawyerW,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,No,GLQ,695,0,253,948,Ex,Y,SBrkr,1222,888,2110,1,0,2,1,3,1,Gd,8,2,Fa,Attchd,1994.0,RFn,2,463,TA,TA,Y,0,WD,Normal,12.230770136157428,1,130
245,20,RL,80.0,10400,Reg,Lvl,Inside,NWAmes,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,TA,CBlock,Gd,TA,Av,GLQ,929,0,916,1845,Gd,Y,SBrkr,1872,0,1872,0,1,2,0,3,1,TA,6,1,TA,Attchd,1988.0,Fin,2,604,TA,TA,Y,197,WD,Normal,12.394628892852941,1,39
246,190,RM,69.0,9142,Reg,Lvl,Inside,OldTown,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,Noune,0.0,TA,Stone,Fa,TA,No,Unf,0,0,1020,1020,Gd,N,FuseP,908,1020,1928,0,0,2,0,4,2,Fa,9,0,Noune,Detchd,1910.0,Unf,1,440,Po,Po,Y,0,WD,Normal,11.827743504053695,2,172
247,20,RL,75.0,11310,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,Noune,0.0,TA,CBlock,TA,TA,No,Unf,0,0,1367,1367,Ex,Y,SBrkr,1375,0,1375,0,0,1,0,2,1,TA,5,1,TA,Attchd,1954.0,Unf,2,451,TA,TA,Y,0,WD,Normal,11.849404844423074,1,30
248,60,RL,72.0,11317,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,Gd,PConc,Gd,TA,No,Unf,0,0,840,840,Ex,Y,SBrkr,840,828,1668,0,0,2,1,3,1,Gd,8,0,Noune,Attchd,2003.0,RFn,2,500,TA,TA,Y,144,WD,Normal,12.100717685412471,1,68
249,50,RL,83.46153846153847,159000,IR2,Low,CulDSac,ClearCr,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,Gd,CBlock,Gd,TA,Gd,Rec,697,0,747,1444,Gd,Y,SBrkr,1444,700,2144,0,1,2,0,4,1,Gd,7,2,TA,Attchd,1958.0,Fin,2,389,TA,TA,Y,0,WD,Normal,12.531776395271262,1,98
250,30,RL,55.0,5350,IR1,Lvl,Inside,BrkSide,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,Noune,0.0,TA,CBlock,TA,TA,No,Unf,0,0,728,728,Ex,Y,SBrkr,1306,0,1306,0,0,1,0,3,1,Fa,6,0,Noune,Noune,1940.0,Noune,0,0,Noune,Noune,Y,263,WD,Normal,11.245059091624615,0,0
251,120,RM,44.0,4750,IR1,HLS,Inside,Crawfor,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,Gd,PConc,Gd,TA,Gd,GLQ,1573,0,0,1573,Ex,Y,SBrkr,1625,0,1625,1,1,2,0,2,1,Gd,5,1,Gd,Attchd,2006.0,Fin,2,538,TA,TA,Y,123,WD,Family,12.367345048436391,1,153
252,60,RL,65.0,8366,IR1,Lvl,Inside,SawyerW,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,No,Unf,0,0,798,798,Ex,Y,SBrkr,798,842,1640,0,0,2,1,3,1,Gd,6,0,Noune,Attchd,2004.0,RFn,2,520,TA,TA,Y,138,WD,Normal,12.06105265381003,1,45
253,80,RL,85.0,9350,Reg,Lvl,Inside,NAmes,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,TA,CBlock,Gd,TA,Gd,LwQ,270,580,452,1302,Ex,Y,SBrkr,1302,0,1302,0,1,2,0,3,1,Gd,7,0,Noune,Attchd,1964.0,RFn,1,309,TA,TA,Y,333,CWD,Normal,11.970356641102999,0,0
254,20,RL,70.0,8400,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,TA,CBlock,TA,TA,No,Rec,922,0,392,1314,TA,Y,SBrkr,1314,0,1314,1,0,1,0,3,1,TA,5,0,Noune,Attchd,1957.0,RFn,1,294,TA,TA,Y,250,WD,Normal,11.884495917930655,0,0
255,60,RL,66.0,8738,IR1,Lvl,Inside,Gilbert,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,Gd,PConc,Gd,TA,No,Unf,0,0,975,975,Ex,Y,SBrkr,1005,1286,2291,0,0,2,1,4,1,Gd,8,1,TA,BuiltIn,1999.0,Fin,2,429,TA,TA,Y,192,WD,Normal,12.345838935721968,0,0
256,60,FV,64.0,8791,IR1,Lvl,Inside,Somerst,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,No,Rec,503,0,361,864,Ex,Y,SBrkr,864,864,1728,0,0,2,1,3,1,Gd,7,0,Noune,Attchd,2003.0,RFn,2,673,TA,TA,Y,216,WD,Normal,12.242891437918386,1,56
257,20,RL,68.0,8814,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,Gd,PConc,Gd,TA,No,GLQ,1334,0,270,1604,Ex,Y,SBrkr,1604,0,1604,1,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,2,660,TA,TA,Y,123,WD,Abnorml,12.301387370778713,1,110
258,60,RL,80.0,12435,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,Gd,PConc,Gd,TA,No,GLQ,361,0,602,963,Ex,Y,SBrkr,963,829,1792,0,0,2,1,3,1,Gd,7,1,TA,Attchd,2001.0,RFn,2,564,TA,TA,Y,0,WD,Normal,12.352339472153524,2,341
259,20,RM,70.0,12702,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,Noune,0.0,TA,PConc,Noune,Noune,Noune,Noune,0,0,0,0,Gd,Y,FuseA,882,0,882,0,0,1,0,2,1,TA,4,0,Noune,Detchd,1956.0,Unf,1,308,TA,TA,Y,0,WD,Normal,11.48247656671073,1,45
260,80,RL,120.0,19296,Reg,Lvl,Corner,NAmes,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,CBlock,TA,TA,Gd,Rec,672,690,0,1362,TA,Y,SBrkr,1382,0,1382,1,0,1,0,3,1,TA,6,1,TA,Attchd,1991.0,Unf,2,884,TA,TA,Y,0,WD,Normal,12.07824495582233,1,252
261,60,RL,69.0,9588,IR1,Lvl,Inside,CollgCr,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,Gd,PConc,Ex,TA,No,Unf,0,0,1482,1482,Ex,Y,SBrkr,1482,1092,2574,0,0,2,1,3,1,Ex,10,1,Gd,BuiltIn,2007.0,Fin,3,868,TA,TA,Y,0,New,Partial,12.52815976788113,1,148
262,80,RL,88.0,8471,IR1,Lvl,Corner,Sawyer,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,TA,CBlock,Gd,Gd,Av,ALQ,506,0,0,506,TA,Y,SBrkr,1212,0,1212,1,0,1,0,3,1,TA,6,1,TA,Attchd,1978.0,Unf,2,492,TA,TA,Y,292,WD,Normal,11.92504173829169,1,12
263,50,RM,50.0,5500,Reg,Lvl,Corner,OldTown,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,BrkTil,TA,TA,No,LwQ,234,692,0,926,TA,Y,SBrkr,926,0,1316,1,0,1,0,3,1,TA,6,0,Noune,Detchd,1974.0,Unf,2,484,TA,TA,Y,0,WD,Normal,11.775297421715827,0,0
264,30,RM,30.0,5232,IR3,Bnk,Inside,OldTown,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,BrkTil,Fa,TA,No,Unf,0,0,680,680,Gd,N,FuseP,764,0,764,0,0,1,0,2,1,TA,4,0,Noune,Detchd,1965.0,Unf,2,504,TA,TA,N,0,WD,Normal,11.19822841866684,0,0
265,20,RL,78.0,12090,IR1,Lvl,Inside,NWAmes,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,TA,CBlock,Gd,TA,No,GLQ,588,228,606,1422,TA,Y,SBrkr,1422,0,1422,0,0,2,0,3,1,Gd,7,1,TA,Attchd,1981.0,Fin,2,576,TA,TA,Y,276,WD,Normal,12.075400019877522,0,0
266,60,RL,70.0,11207,IR1,HLS,FR2,Gilbert,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,Gd,TA,Av,GLQ,714,0,88,802,Gd,Y,SBrkr,802,709,1511,1,0,2,1,3,1,TA,8,1,TA,Attchd,1997.0,Fin,2,413,TA,TA,Y,95,WD,Normal,12.128116509451258,1,75
267,75,RL,60.0,8400,Reg,Bnk,Inside,SWISU,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,PConc,TA,TA,No,LwQ,378,0,342,720,Ex,Y,SBrkr,1052,720,2192,0,0,2,1,4,1,Gd,8,1,Gd,Detchd,1939.0,Unf,1,240,TA,TA,Y,262,WD,Normal,12.097936057925594,1,24
268,30,RM,71.0,6900,Reg,Lvl,Inside,IDOTRR,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,TA,No,ALQ,403,125,212,740,Ex,Y,SBrkr,778,0,778,0,0,1,0,2,1,TA,4,1,Gd,Detchd,1966.0,Fin,1,924,Ex,Ex,Y,0,WD,Normal,11.699413330633599,1,25
269,20,RL,68.21739130434783,7917,IR1,Lvl,Corner,Edwards,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,TA,CBlock,TA,Gd,No,BLQ,751,0,392,1143,TA,Y,SBrkr,1113,0,1113,1,0,1,1,3,1,TA,6,1,Fa,Attchd,1987.0,RFn,1,504,TA,Gd,Y,370,WD,Normal,11.904974309480183,1,30
270,60,FV,84.0,10728,Reg,Lvl,Inside,Somerst,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,Mn,Unf,0,0,1095,1095,Gd,Y,SBrkr,1095,844,1939,0,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,3,1053,TA,TA,Y,192,New,Partial,12.491255347155265,1,51
271,20,RL,73.0,39104,IR1,Low,CulDSac,ClearCr,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,Noune,0.0,TA,CBlock,Gd,TA,Gd,LwQ,226,1063,96,1385,Ex,Y,SBrkr,1363,0,1363,1,0,1,0,2,1,TA,5,2,TA,Attchd,1954.0,Unf,2,439,TA,TA,Y,81,WD,Normal,12.394628892852941,0,0
272,60,RL,92.0,11764,IR1,Lvl,CulDSac,NoRidge,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,PConc,Gd,TA,No,GLQ,524,0,628,1152,Ex,Y,SBrkr,1164,1106,2270,0,0,2,1,4,1,Gd,9,1,Gd,Attchd,1999.0,Fin,3,671,TA,TA,Y,132,WD,Normal,12.577639650232573,1,57
273,20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,CBlock,TA,TA,No,Rec,620,620,0,1240,Gd,Y,SBrkr,1632,0,1632,1,0,2,0,3,1,TA,6,1,Gd,Attchd,1958.0,RFn,1,338,TA,TA,Y,289,WD,Normal,11.842236406331555,0,0
274,20,RL,76.0,8314,Reg,Lvl,Corner,Mitchel,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,Noune,0.0,TA,CBlock,TA,TA,Gd,ALQ,546,0,270,816,TA,Y,SBrkr,816,0,816,0,0,1,0,2,1,TA,5,0,Noune,Attchd,1982.0,Unf,1,264,TA,TA,Y,168,WD,Normal,11.732069026983156,0,0
275,50,RL,55.0,7264,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,Gd,BrkTil,TA,TA,No,Unf,0,0,952,952,Gd,N,SBrkr,952,596,1548,0,0,2,1,3,1,Ex,5,0,Noune,Detchd,1978.0,Unf,2,672,TA,TA,Y,74,WD,Normal,12.230770136157428,1,144
276,20,RL,129.0,9196,IR1,Lvl,Inside,Mitchel,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Ex,TA,No,Unf,0,0,1560,1560,Ex,Y,SBrkr,1560,0,1560,0,0,2,0,3,1,Gd,7,0,Noune,Attchd,2003.0,Fin,2,573,TA,TA,Y,100,WD,Normal,12.211065162153215,1,150
277,20,RL,140.0,19138,Reg,Lvl,Corner,Gilbert,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,CBlock,TA,TA,No,LwQ,120,0,744,864,Ex,Y,SBrkr,864,0,864,0,0,1,0,2,1,TA,4,0,Noune,Detchd,1951.0,Unf,2,400,TA,TA,Y,0,WD,Normal,11.856522261533737,0,0
278,20,RL,107.0,14450,Reg,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,Ex,PConc,Ex,TA,Gd,Unf,0,0,2121,2121,Ex,Y,SBrkr,2121,0,2121,0,0,2,1,3,1,Ex,8,1,Ex,Attchd,2007.0,Fin,3,732,TA,TA,Y,124,New,Partial,12.936754021718041,2,240
279,60,RL,83.0,10005,Reg,Lvl,Inside,ClearCr,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,TA,CBlock,Gd,TA,No,BLQ,392,0,768,1160,Ex,Y,SBrkr,1156,866,2022,0,0,2,1,4,1,TA,8,1,TA,Attchd,1977.0,Fin,2,505,TA,TA,Y,288,WD,Normal,12.165255859329688,1,117
280,60,RL,82.0,11287,Reg,Lvl,Inside,SawyerW,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,CBlock,Gd,TA,Av,GLQ,421,0,386,807,Gd,Y,SBrkr,1175,807,1982,0,0,2,1,3,1,Gd,7,1,TA,Attchd,1989.0,Fin,2,575,TA,TA,Y,0,WD,Normal,12.339295865674435,2,280
281,20,FV,60.0,7200,Reg,Lvl,Inside,Somerst,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,Gd,PConc,Gd,TA,No,GLQ,905,0,357,1262,Gd,Y,SBrkr,1262,0,1262,0,0,2,0,2,1,Gd,5,0,Noune,Attchd,2006.0,Fin,2,572,TA,TA,Y,0,New,Partial,12.128116509451258,1,120
282,120,RL,34.0,5063,Reg,Lvl,Inside,NridgHt,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,Gd,PConc,Gd,TA,No,GLQ,904,0,410,1314,Ex,Y,SBrkr,1314,0,1314,1,0,2,0,2,1,Gd,6,1,Gd,Attchd,2008.0,RFn,2,626,TA,TA,Y,172,ConLw,Normal,12.242891437918386,1,62
283,20,RL,74.0,9612,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,PConc,Gd,TA,No,Unf,0,0,1468,1468,Ex,Y,SBrkr,1468,0,1468,0,0,2,0,3,1,Gd,6,1,Gd,Attchd,2008.0,Fin,3,898,TA,TA,Y,210,New,Partial,12.407383590534293,1,150
284,120,RL,50.0,8012,Reg,Lvl,Inside,SawyerW,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,Noune,0.0,Gd,PConc,Gd,TA,No,GLQ,430,0,1145,1575,Gd,Y,SBrkr,1575,0,1575,1,0,2,0,2,1,Gd,5,0,Noune,Attchd,1992.0,RFn,2,529,TA,TA,Y,0,WD,Normal,12.09626335986454,1,52
285,160,FV,35.0,4251,IR1,Lvl,Inside,Somerst,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,Noune,0.0,Gd,PConc,Gd,TA,No,Unf,0,0,625,625,Ex,Y,SBrkr,625,625,1250,0,0,2,1,2,1,Gd,5,0,Noune,Detchd,2006.0,RFn,2,528,TA,TA,Y,0,New,Partial,12.011886987792716,1,54
286,50,RL,77.0,9786,IR1,Bnk,Inside,NAmes,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,CBlock,TA,TA,No,Rec,600,0,312,912,TA,Y,SBrkr,1085,649,1734,0,0,1,1,3,1,Gd,7,1,Gd,Attchd,1962.0,RFn,2,440,TA,TA,Y,0,WD,Normal,11.976665770490767,1,128
287,20,RL,76.46236559139786,8125,IR1,Lvl,Corner,NAmes,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,No,BLQ,614,0,244,858,TA,Y,SBrkr,858,0,858,0,0,1,0,3,1,TA,5,0,Noune,Noune,1971.0,Noune,0,0,Noune,Noune,Y,0,WD,Normal,11.385103457032141,0,0
288,20,RL,74.4375,9819,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,TA,CBlock,TA,TA,No,BLQ,450,0,432,882,TA,Y,SBrkr,900,0,900,0,0,1,0,3,1,TA,5,0,Noune,Detchd,1970.0,Unf,1,280,TA,TA,Y,0,WD,Normal,11.711784520403112,0,0
289,70,RL,60.0,8730,Reg,Lvl,Inside,BrkSide,1Fam,2Story,6,7,1915,2003,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,BrkTil,TA,TA,No,Unf,0,0,698,698,Ex,Y,FuseA,698,698,1396,0,0,1,0,3,1,TA,7,0,Noune,Detchd,2003.0,Unf,1,384,TA,TA,Y,0,WD,Normal,11.941950837487406,1,259
290,60,RL,120.0,15611,Reg,Lvl,Inside,CollgCr,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,Gd,PConc,Gd,TA,Av,Unf,0,0,1079,1079,Ex,Y,SBrkr,1079,840,1919,0,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,2,685,Gd,TA,Y,0,New,Partial,12.359784657728284,1,51
291,190,RL,55.0,5687,Reg,Bnk,Inside,SWISU,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,Noune,0.0,TA,PConc,TA,Fa,No,Rec,210,0,570,780,Ex,N,SBrkr,936,780,1716,1,0,2,0,6,1,Fa,9,0,Noune,Noune,1997.0,Noune,0,0,Noune,Noune,N,0,WD,Normal,11.819681958463892,1,184
292,50,RL,60.0,11409,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,CBlock,TA,TA,No,LwQ,292,0,476,768,Gd,Y,SBrkr,1148,568,1716,0,0,1,1,3,1,TA,8,1,Gd,Attchd,1949.0,Unf,1,281,TA,TA,Y,0,WD,Normal,11.782960235741939,1,160
293,60,RL,81.28888888888889,16659,IR1,Lvl,Corner,NWAmes,1Fam,2Story,7,7,1977,1994,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,TA,CBlock,TA,TA,No,ALQ,795,0,0,795,Fa,Y,SBrkr,1468,795,2263,1,0,2,1,3,1,Gd,9,1,TA,Attchd,1977.0,Fin,2,539,TA,TA,Y,0,WD,Normal,12.367345048436391,1,250
294,20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,5,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,TA,CBlock,TA,TA,No,GLQ,1285,0,131,1416,TA,Y,SBrkr,1644,0,1644,1,0,1,0,3,1,TA,7,2,Gd,Attchd,1953.0,Fin,2,418,TA,TA,Y,110,WD,Normal,12.025755079404917,0,0
295,80,RL,37.0,7937,IR1,Lvl,CulDSac,Mitchel,1Fam,SLvl,6,6,1984,1984,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,Av,GLQ,819,0,184,1003,TA,Y,SBrkr,1003,0,1003,1,0,1,0,3,1,TA,6,0,Noune,Detchd,1984.0,Unf,2,588,TA,TA,Y,120,WD,Normal,11.86710429621008,0,0
296,50,RM,75.0,13710,Reg,Lvl,Inside,IDOTRR,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Noune,0.0,TA,CBlock,TA,TA,No,BLQ,420,0,490,910,TA,Y,FuseA,910,648,1558,0,0,1,1,4,1,TA,6,0,Noune,Attchd,1950.0,Unf,1,282,TA,TA,Y,289,WD,Normal,11.931642378754141,0,0
297,60,FV,66.0,7399,IR1,Lvl,Inside,Somerst,1Fam,2Story,7,5,1997,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,Gd,PConc,Gd,TA,No,BLQ,649,0,326,975,Ex,Y,SBrkr,975,975,1950,0,0,2,1,3,1,Gd,7,1,TA,Detchd,1997.0,RFn,2,576,TA,TA,Y,0,WD,Normal,12.384223015005313,2,208
298,60,RL,90.0,11700,Reg,Lvl,Inside,NWAmes,1Fam,2Story,6,6,1968,1968,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,Gd,CBlock,TA,TA,No,ALQ,384,175,143,702,Gd,Y,SBrkr,1041,702,1743,0,1,1,2,3,1,TA,7,1,Gd,Attchd,1968.0,Unf,2,539,TA,TA,Y,224,WD,Normal,12.07254696717504,0,0
299,20,RL,80.0,14000,Reg,Lvl,Inside,Crawfor,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,Noune,0.0,TA,CBlock,TA,TA,No,Unf,0,0,1092,1092,Ex,Y,SBrkr,1152,0,1152,0,1,1,0,3,1,Gd,6,1,Gd,Attchd,1950.0,Unf,1,300,TA,TA,Y,0,WD,Family,11.973516181427835,1,36
300,190,RL,90.0,15750,Reg,Lvl,Corner,Crawfor,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,TA,CBlock,TA,TA,Mn,BLQ,841,0,324,1165,TA,Y,SBrkr,1336,0,1336,1,0,1,0,2,1,TA,5,2,Gd,Attchd,1953.0,Unf,1,375,TA,TA,Y,0,WD,Normal,11.964007453736912,0,0
